# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
21

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ZQCTGKKFUH,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,16,17
# x,y,z,u,w
1.559999999999999720e-01, 1.167267452874599931e-02, 3.685452201277600315e-02, 2.000000000000000000e+00, 3.250000000000000000e+00
1.559999999999999443e-01, 2.120904402555200130e-02, 2.827872536740265799e-02, 2.000000000000000000e+00, 3.500000000000000000e+00
1.559999999999999720e-01, 2.764089150958199889e-02, 1.556356603832799619e-02, 2.000000000000000000e+00, 3.750000000000000000e+00
1.559999999999999720e-01, 2.999999999999999889e-02, 0.000000000000000000e+00, 2.000000000000000000e+00, 4.000000000000000000e+00
1.922402799834859732e-01, 2.947122633398209512e-02, -1.387778780781447811e-20, 2.200000000000000178e+00, 0.000000000000000000e+00
1.922402799834859732e-01, 2.715406389220207523e-02, -1.540668752417177940e-02, 2.200000000000000178e+00, 2.500000000000000000e-01
1.922402799834859732e-01, 2.083525272525902153e-02, -2.799683992455374165e-02, 2.200000000000000178e+00, 5.000000000000000000e-01
1.922402799834859732e-01, 1.146521442496521367e-02, -3.648747159193760359e-02, 2.200000000000000178e+00, 7.500000000000000000e-01
1.922402799834860287e-01, 2.775557561562895622e-20, -3.960122633398209524e-02, 2.200000000000000178e+00, 1.000000000000000000e+00
1.922402799834859732e-01, -1.146521442496521367e-02, -3.648747159193760359e-02, 2.200000000000000178e+00, 1.250000000000000000e+00
1.922402799834859732e-01, -2.083525272525902500e-02, -2.799683992455374165e-02, 2.200000000000000178e+00, 1.500000000000000000e+00
1.922402799834859732e-01, -2.715406389220206829e-02, -1.540668752417177940e-02, 2.200000000000000178e+00, 1.750000000000000000e+00
1.922402799834859732e-01, -2.947122633398209512e-02, 5.921189464667509055e-20, 2.200000000000000178e+00, 2.000000000000000000e+00
1.922402799834860010e-01, -2.715406389220206829e-02, 1.540668752417177940e-02, 2.200000000000000178e+00, 2.250000000000000000e+00
1.922402799834860287e-01, -2.083525272525902500e-02, 2.799683992455374165e-02, 2.200000000000000178e+00, 2.500000000000000000e+00
1.922402799834860287e-01, -1.146521442496521367e-02, 3.648747159193760359e-02, 2.200000000000000178e+00, 2.750000000000000000e+00
1.922402799834860287e-01, -5.949520514737690062e-20, 3.960122633398209524e-02, 2.200000000000000178e+00, 3.000000000000000000e+00
1.922402799834859732e-01, 1.146521442496521367e-02, 3.648747159193760359e-02, 2.200000000000000178e+00, 3.250000000000000000e+00
1.922402799834859732e-01, 2.083525272525902153e-02, 2.799683992455374165e-02, 2.200000000000000178e+00, 3.500000000000000000e+00
1.922402799834859732e-01, 2.715406389220207523e-02, 1.540668752417177940e-02, 2.200000000000000178e+00, 3.750000000000000000e+00
1.922402799834859732e-01, 2.947122633398209512e-02, 0.000000000000000000e+00, 2.200000000000000178e+00, 4.000000000000000000e+00
2.336861959740847983e-01, 2.811367900194628594e-02, -4.163336342344335308e-20, 2.399999999999999911e+00, 0.000000000000000000e+00
2.336861959740848260e-01, 2.590399974234640704e-02, -1.499565820811979422e-02, 2.399999999999999911e+00, 2.500000000000000000e-01
2.336861959740848538e-01, 1.987557968441754780e-02, -2.725632700530963848e-02, 2.399999999999999911e+00, 5.000000000000000000e-01
2.336861959740848538e-01, 1.093356747211618636e-02, -3.552302998768094161e-02, 2.399999999999999911e+00, 7.500000000000000000e-01
2.336861959740848538e-01, 8.326672684688670615e-20, -3.855367900194628383e-02, 2.399999999999999911e+00, 1.000000000000000000e+00
2.336861959740848538e-01, -1.093356747211618463e-02, -3.552302998768094161e-02, 2.399999999999999911e+00, 1.250000000000000000e+00
2.336861959740848538e-01, -1.987557968441754433e-02, -2.725632700530963848e-02, 2.399999999999999911e+00, 1.500000000000000000e+00
2.336861959740848260e-01, -2.590399974234640357e-02, -1.499565820811979422e-02, 2.399999999999999911e+00, 1.750000000000000000e+00
2.336861959740847983e-01, -2.811367900194628594e-02, 1.776356839400249346e-19, 2.399999999999999911e+00, 2.000000000000000000e+00
2.336861959740848538e-01, -2.590399974234640357e-02, 1.499565820811979422e-02, 2.399999999999999911e+00, 2.250000000000000000e+00
2.336861959740848538e-01, -1.987557968441754433e-02, 2.725632700530964195e-02, 2.399999999999999911e+00, 2.500000000000000000e+00
2.336861959740848538e-01, -1.093356747211618463e-02, 3.552302998768094161e-02, 2.399999999999999911e+00, 2.750000000000000000e+00
2.336861959740848538e-01, -1.784856154421303769e-19, 3.855367900194628383e-02, 2.399999999999999911e+00, 3.000000000000000000e+00
2.336861959740848260e-01, 1.093356747211618463e-02, 3.552302998768094161e-02, 2.399999999999999911e+00, 3.250000000000000000e+00
2.336861959740847983e-01, 1.987557968441754780e-02, 2.725632700530963848e-02, 2.399999999999999911e+00, 3.500000000000000000e+00
2.336861959740848260e-01, 2.590399974234640357e-02, 1.499565820811979422e-02, 2.399999999999999911e+00, 3.750000000000000000e+00
2.336861959740848260e-01, 2.811367900194628594e-02, 0.000000000000000000e+00, 2.399999999999999911e+00, 4.000000000000000000e+00
2.750119719729408052e-01, 2.627051850291942103e-02, -6.245004513516506272e-20, 2.600000000000000089e+00, 0.000000000000000000e+00
2.750119719729408052e-01, 2.420632711344114507e-02, -1.441988742979704273e-02, 2.600000000000000089e+00, 2.500000000000000000e-01
2.750119719729408052e-01, 1.857257619308375768e-02, -2.621490172362432938e-02, 2.600000000000000089e+00, 5.000000000000000000e-01
2.750119719729408052e-01, 1.021383370793889703e-02, -3.416626168739386737e-02, 2.600000000000000089e+00, 7.500000000000000000e-01
2.750119719729408052e-01, 1.249000902703301254e-19, -3.708051850291942814e-02, 2.600000000000000089e+00, 1.000000000000000000e+00
2.750119719729408052e-01, -1.021383370793890050e-02, -3.416626168739386737e-02, 2.600000000000000089e+00, 1.250000000000000000e+00
2.750119719729408052e-01, -1.857257619308376462e-02, -2.621490172362432938e-02, 2.600000000000000089e+00, 1.500000000000000000e+00
2.750119719729408052e-01, -2.420632711344114507e-02, -1.441988742979704273e-02, 2.600000000000000089e+00, 1.750000000000000000e+00
2.750119719729408052e-01, -2.627051850291942103e-02, 2.664535259100374982e-19, 2.600000000000000089e+00, 2.000000000000000000e+00
2.750119719729408052e-01, -2.420632711344114507e-02, 1.441988742979704273e-02, 2.600000000000000089e+00, 2.250000000000000000e+00
2.750119719729408052e-01, -1.857257619308376462e-02, 2.621490172362433285e-02, 2.600000000000000089e+00, 2.500000000000000000e+00
2.750119719729408052e-01, -1.021383370793890050e-02, 3.416626168739386737e-02, 2.600000000000000089e+00, 2.750000000000000000e+00
2.750119719729408052e-01, -2.677284231631956977e-19, 3.708051850291942814e-02, 2.600000000000000089e+00, 3.000000000000000000e+00
2.750119719729408052e-01, 1.021383370793889703e-02, 3.416626168739386737e-02, 2.600000000000000089e+00, 3.250000000000000000e+00
2.750119719729408052e-01, 1.857257619308375768e-02, 2.621490172362432938e-02, 2.600000000000000089e+00, 3.500000000000000000e+00
2.750119719729408052e-01, 2.420632711344114507e-02, 1.441988742979704273e-02, 2.600000000000000089e+00, 3.750000000000000000e+00
2.750119719729408052e-01, 2.627051850291942103e-02, 0.000000000000000000e+00, 2.600000000000000089e+00, 4.000000000000000000e+00
3.108918319811977971e-01, 2.428490533592837786e-02, -5.551115123125785225e-20, 2.799999999999999822e+00, 0.000000000000000000e+00
3.108918319811977971e-01, 2.237667405891246089e-02, -1.376878452882852530e-02, 2.799999999999999822e+00, 2.500000000000000000e-01
3.108918319811977971e-01, 1.716879354131384608e-02, -2.503027919345178834e-02, 2.799999999999999822e+00, 5.000000000000000000e-01
3.108918319811977971e-01, 9.442113170173339204e-03, -3.262223117846418941e-02, 2.799999999999999822e+00, 7.500000000000000000e-01
3.108918319811977971e-01, 1.110223024625157045e-19, -3.540490533592838274e-02, 2.799999999999999822e+00, 1.000000000000000000e+00
3.108918319811977971e-01, -9.442113170173342673e-03, -3.262223117846418941e-02, 2.799999999999999822e+00, 1.250000000000000000e+00
3.108918319811977971e-01, -1.716879354131385302e-02, -2.503027919345178834e-02, 2.799999999999999822e+00, 1.500000000000000000e+00
3.108918319811977971e-01, -2.237667405891246089e-02, -1.376878452882852530e-02, 2.799999999999999822e+00, 1.750000000000000000e+00
3.108918319811977971e-01, -2.428490533592837786e-02, 2.368475785867000733e-19, 2.799999999999999822e+00, 2.000000000000000000e+00
3.108918319811977971e-01, -2.237667405891246089e-02, 1.376878452882852530e-02, 2.799999999999999822e+00, 2.250000000000000000e+00
3.108918319811977971e-01, -1.716879354131385302e-02, 2.503027919345179528e-02, 2.799999999999999822e+00, 2.500000000000000000e+00
3.108918319811977971e-01, -9.442113170173342673e-03, 3.262223117846418941e-02, 2.799999999999999822e+00, 2.750000000000000000e+00
3.108918319811977971e-01, -2.379808205895073617e-19, 3.540490533592838274e-02, 2.799999999999999822e+00, 3.000000000000000000e+00
3.108918319811977971e-01, 9.442113170173337469e-03, 3.262223117846418941e-02, 2.799999999999999822e+00, 3.250000000000000000e+00
3.108918319811977971e-01, 1.716879354131384608e-02, 2.503027919345178834e-02, 2.799999999999999822e+00, 3.500000000000000000e+00
3.108918319811977971e-01, 2.237667405891246089e-02, 1.376878452882852530e-02, 2.799999999999999822e+00, 3.750000000000000000e+00
3.108918319811977971e-01, 2.428490533592837786e-02, 0.000000000000000000e+00, 2.799999999999999822e+00, 4.000000000000000000e+00
3.360000000000000209e-01, 2.250000000000000264e-02, 0.000000000000000000e+00, 3.000000000000000000e+00, 0.000000000000000000e+00
3.360000000000000209e-01, 2.073066863218649830e-02, -1.313175884483924402e-02, 3.000000000000000000e+00, 2.500000000000000000e-01
3.360000000000000209e-01, 1.590678301916399057e-02, -2.386017452874599279e-02, 3.000000000000000000e+00, 5.000000000000000000e-01
3.359999999999999654e-01, 8.754505896559492545e-03, -3.109600294827975092e-02, 3.000000000000000000e+00, 7.500000000000000000e-01
3.359999999999999098e-01, 0.000000000000000000e+00, -3.375000000000000222e-02, 3.000000000000000000e+00, 1.000000000000000000e+00
3.359999999999999654e-01, -8.754505896559496014e-03, -3.109600294827975439e-02, 3.000000000000000000e+00, 1.250000000000000000e+00
3.360000000000000209e-01, -1.590678301916399751e-02, -2.386017452874599973e-02, 3.000000000000000000e+00, 1.500000000000000000e+00
3.360000000000000209e-01, -2.073066863218649830e-02, -1.313175884483924576e-02, 3.000000000000000000e+00, 1.750000000000000000e+00
3.360000000000000209e-01, -2.250000000000000264e-02, 0.000000000000000000e+00, 3.000000000000000000e+00, 2.000000000000000000e+00
3.359999999999999654e-01, -2.073066863218649830e-02, 1.313175884483924576e-02, 3.000000000000000000e+00, 2.250000000000000000e+00
3.360000000000000209e-01, -1.590678301916399751e-02, 2.386017452874599973e-02, 3.000000000000000000e+00, 2.500000000000000000e+00
3.360000000000000209e-01, -8.754505896559496014e-03, 3.109600294827975439e-02, 3.000000000000000000e+00, 2.750000000000000000e+00
3.360000000000000209e-01, 0.000000000000000000e+00, 3.375000000000000222e-02, 3.000000000000000000e+00, 3.000000000000000000e+00
3.360000000000000764e-01, 8.754505896559492545e-03, 3.109600294827975092e-02, 3.000000000000000000e+00, 3.250000000000000000e+00
3.360000000000000209e-01, 1.590678301916399057e-02, 2.386017452874599279e-02, 3.000000000000000000e+00, 3.500000000000000000e+00
3.360000000000000209e-01, 2.073066863218649830e-02, 1.313175884483924402e-02, 3.000000000000000000e+00, 3.750000000000000000e+00
3.360000000000000209e-01, 2.250000000000000264e-02, 0.000000000000000000e+00, 3.000000000000000000e+00, 4.000000000000000000e+00
3.863489756946804077e-01, 1.773804553842326173e-02, 2.220446049250314090e-19, 3.200000000000000178e+00, 0.000000000000000000e+00
3.863489756946804077e-01, 1.633915586785980589e-02, -1.090943449478001120e-02, 3.200000000000000178e+00, 2.500000000000000000e-01
3.863489756946804077e-01, 1.253984885704969611e-02, -1.978740338146132635e-02, 3.200000000000000178e+00, 5.000000000000000000e-01
3.863489756946803522e-01, 6.920648154816927237e-03, -2.578460131451417239e-02, 3.200000000000000178e+00, 7.500000000000000000e-01
